,round_epochs,val_loss,val_accuracy,loss,accuracy,activation_1,activation_2,activation_3,activation_4,activation_5,batch_size,dropout,emb_output_dims,epochs,kernel_initializer,last_activation,loss,lr,neurons_layer_2,neurons_layer_3,neurons_layer_4,optimizer,weight_regulizer
57,7,1.9382684230804443,0.20481927692890167,1.91941111925529,0.20708082616329193,relu,relu,elu,elu,relu,512,0.15000000000000002,,30,uniform,softmax,categorical_crossentropy,3.0000700000000005,64,128,32,<class 'keras.optimizers.RMSprop'>,
25,9,1.931985855102539,0.20481927692890167,1.9538311517151021,0.1429525762796402,relu,tanh,relu,elu,relu,512,0.4,,30,uniform,softmax,categorical_crossentropy,9.000010000000001,64,32,256,<class 'keras.optimizers.Adam'>,
27,6,1.930018697397776,0.20481927692890167,1.9152583508150691,0.21977287530899048,tanh,elu,relu,relu,relu,256,0.25,,30,random_uniform,softmax,categorical_crossentropy,5.000050000000001,64,128,64,<class 'keras.optimizers.SGD'>,
55,4,1.9413563070527042,0.20481927692890167,1.9178953941615327,0.21977287530899048,relu,tanh,tanh,elu,tanh,256,0.0,,30,random_uniform,softmax,categorical_crossentropy,8.000020000000001,64,32,64,<class 'keras.optimizers.SGD'>,
51,4,1.9345803720405303,0.20481927692890167,1.918708578857009,0.21977287530899048,relu,elu,relu,relu,elu,256,0.15000000000000002,,30,normal,softmax,categorical_crossentropy,2.0000800000000005,64,32,256,<class 'keras.optimizers.SGD'>,
48,6,1.9299781322479248,0.20481927692890167,1.9202820631210693,0.21977287530899048,relu,elu,relu,relu,tanh,512,0.25,,30,normal,softmax,categorical_crossentropy,2.0000800000000005,64,128,64,<class 'keras.optimizers.SGD'>,
47,5,2.680408878020015,0.20481927692890167,2.287306088483883,0.18370074033737183,elu,relu,elu,tanh,tanh,256,0.0,,30,random_uniform,softmax,categorical_crossentropy,4.00006,32,64,256,<class 'keras.optimizers.RMSprop'>,
44,9,1.9403106673175552,0.20481927692890167,1.9179362890795222,0.21977287530899048,relu,elu,tanh,relu,relu,256,0.25,,30,random_uniform,softmax,categorical_crossentropy,2.0000800000000005,32,32,32,<class 'keras.optimizers.RMSprop'>,
43,9,1.9321682453155518,0.20481927692890167,1.9223512705756411,0.2164328694343567,relu,tanh,tanh,tanh,tanh,512,0.4,,30,random_uniform,softmax,categorical_crossentropy,1.0000900000000001,64,128,64,<class 'keras.optimizers.SGD'>,
41,16,1.9341964769554905,0.20481927692890167,1.9208543689233426,0.21977287530899048,elu,elu,elu,tanh,relu,256,0.05,,30,random_uniform,softmax,categorical_crossentropy,7.000030000000001,32,128,128,<class 'keras.optimizers.RMSprop'>,
40,5,4.24631867542803,0.20481927692890167,3.7754900508032057,0.13961255550384521,tanh,elu,elu,elu,tanh,256,0.30000000000000004,,30,random_uniform,softmax,categorical_crossentropy,8.000020000000001,128,32,64,<class 'keras.optimizers.RMSprop'>,
39,8,1.940435767173767,0.20481927692890167,1.9228412131906432,0.21977287530899048,relu,elu,tanh,relu,elu,512,0.0,,30,uniform,softmax,categorical_crossentropy,2.0000800000000005,64,64,256,<class 'keras.optimizers.Nadam'>,
38,5,1.9314666986465454,0.20481927692890167,1.9200657714424567,0.21977287530899048,tanh,tanh,tanh,relu,relu,512,0.2,,30,uniform,softmax,categorical_crossentropy,7.000030000000001,32,64,64,<class 'keras.optimizers.SGD'>,
37,5,1.940290543448973,0.20481927692890167,1.9194970749662013,0.20440882444381714,tanh,tanh,relu,elu,tanh,256,0.0,,30,normal,softmax,categorical_crossentropy,1.0000900000000001,32,128,64,<class 'keras.optimizers.RMSprop'>,
36,3,1.9445891380310059,0.20481927692890167,1.9379135547834152,0.15430861711502075,relu,relu,relu,relu,elu,512,0.35000000000000003,,30,random_uniform,softmax,categorical_crossentropy,5.000050000000001,128,32,256,<class 'keras.optimizers.RMSprop'>,
35,4,1.9367866516113281,0.20481927692890167,1.917183799829655,0.21977287530899048,tanh,tanh,tanh,relu,elu,512,0.25,,30,uniform,softmax,categorical_crossentropy,8.000020000000001,32,128,128,<class 'keras.optimizers.SGD'>,
34,4,1.9332835205108765,0.20481927692890167,1.9165952474814538,0.21977287530899048,elu,relu,relu,relu,relu,256,0.0,,30,normal,softmax,categorical_crossentropy,7.000030000000001,64,32,32,<class 'keras.optimizers.SGD'>,
33,11,1.929059624671936,0.20481927692890167,1.9176123254523727,0.21977287530899048,tanh,relu,elu,relu,relu,512,0.1,,30,random_uniform,softmax,categorical_crossentropy,1.0000900000000001,64,256,128,<class 'keras.optimizers.SGD'>,
31,3,1.933188592094973,0.20481927692890167,1.9184773287617054,0.21977287530899048,relu,tanh,elu,relu,elu,256,0.2,,30,uniform,softmax,categorical_crossentropy,4.00006,128,64,64,<class 'keras.optimizers.SGD'>,
28,23,1.9362664533906193,0.20481927692890167,1.9197720200042367,0.21977287530899048,tanh,elu,elu,tanh,relu,256,0.25,,30,normal,softmax,categorical_crossentropy,5.000050000000001,64,64,32,<class 'keras.optimizers.Nadam'>,
26,5,1.929101586341858,0.20481927692890167,1.9148533088649682,0.21977287530899048,tanh,elu,tanh,relu,elu,512,0.05,,30,uniform,softmax,categorical_crossentropy,3.0000700000000005,64,64,256,<class 'keras.optimizers.SGD'>,
49,4,1.941458224771492,0.20481927692890167,1.917445786809953,0.21977287530899048,relu,elu,relu,relu,relu,256,0.0,,30,uniform,softmax,categorical_crossentropy,8.000020000000001,64,128,32,<class 'keras.optimizers.RMSprop'>,
