round_epochs,loss,accuracy,val_loss,val_accuracy,lr,neurons_layer_2,neurons_layer_3,neurons_layer_4,neurons_layer_5,batch_size,epochs,dropout,kernel_initializer,weight_regulizer,emb_output_dims,optimizer,loss,activation_1,activation_2,activation_3,activation_4,activation_5,activation_6,last_activation
30,1.8139140605926514,0.2826504111289978,1.9957433938980103,0.18733061850070953,0.0001,64,128,64,64,512,30,0.25,normal,None,None,<class 'keras.optimizers.optimizer_v2.rmsprop.RMSprop'>,categorical_crossentropy,tanh,tanh,elu,tanh,elu,relu,softmax
30,2.130979537963867,0.06975957006216049,2.10237455368042,0.07825203239917755,0.0001,128,128,64,64,256,30,0.30000000000000004,normal,None,None,<class 'keras.optimizers.optimizer_v2.gradient_descent.SGD'>,categorical_crossentropy,tanh,tanh,elu,relu,relu,elu,softmax
30,2.088836431503296,0.03228355199098587,2.0801148414611816,0.10162601619958878,0.0001,128,64,128,128,256,30,0.15000000000000002,random_uniform,None,None,<class 'keras.optimizers.optimizer_v2.gradient_descent.SGD'>,categorical_crossentropy,relu,tanh,relu,elu,relu,relu,softmax
30,2.067028522491455,0.1663844734430313,2.071805000305176,0.17174796760082245,0.0001,128,32,128,256,512,30,0.30000000000000004,random_uniform,None,None,<class 'keras.optimizers.optimizer_v2.gradient_descent.SGD'>,categorical_crossentropy,tanh,tanh,tanh,relu,relu,elu,softmax
22,1.6685940027236938,0.2980020344257355,1.9670159816741943,0.18902438879013062,0.0001,64,64,64,64,256,30,0.1,normal,None,None,<class 'keras.optimizers.optimizer_v2.nadam.Nadam'>,categorical_crossentropy,tanh,elu,relu,tanh,relu,relu,softmax
30,1.8112744092941284,0.2976633906364441,1.987856149673462,0.22560974955558777,0.0001,32,256,64,128,256,30,0.05,uniform,None,None,<class 'keras.optimizers.optimizer_v2.rmsprop.RMSprop'>,categorical_crossentropy,relu,tanh,elu,elu,relu,tanh,softmax
30,2.0803754329681396,0.1877187043428421,2.08160138130188,0.18563686311244965,0.0001,128,256,256,128,256,30,0.25,random_uniform,None,None,<class 'keras.optimizers.optimizer_v2.gradient_descent.SGD'>,categorical_crossentropy,relu,elu,relu,relu,tanh,elu,softmax
30,1.7529314756393433,0.283214807510376,1.986871361732483,0.2269647717475891,0.0001,32,128,32,256,512,30,0.35000000000000003,normal,None,None,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,categorical_crossentropy,tanh,relu,tanh,elu,tanh,relu,softmax
12,1.702163577079773,0.2978891432285309,1.9838166236877441,0.2269647717475891,0.0001,32,64,32,256,256,30,0.05,normal,None,None,<class 'keras.optimizers.optimizer_v2.nadam.Nadam'>,categorical_crossentropy,elu,relu,relu,elu,relu,elu,softmax
9,1.6919896602630615,0.3119990825653076,1.9854464530944824,0.19241192936897278,0.0001,32,128,128,256,256,30,0.05,uniform,None,None,<class 'keras.optimizers.optimizer_v2.nadam.Nadam'>,categorical_crossentropy,tanh,elu,tanh,elu,relu,elu,softmax
13,1.6854300498962402,0.3060164749622345,1.9895049333572388,0.19410568475723267,0.0001,32,256,128,256,512,30,0.1,normal,None,None,<class 'keras.optimizers.optimizer_v2.nadam.Nadam'>,categorical_crossentropy,tanh,tanh,tanh,relu,elu,elu,softmax
30,2.0819385051727295,0.11265379935503006,2.084306478500366,0.02879403717815876,0.0001,32,256,256,128,256,30,0.35000000000000003,uniform,None,None,<class 'keras.optimizers.optimizer_v2.gradient_descent.SGD'>,categorical_crossentropy,relu,tanh,tanh,elu,relu,tanh,softmax
30,1.7119007110595703,0.2807314693927765,1.985877513885498,0.2286585420370102,0.0001,128,128,32,128,512,30,0.4,normal,None,None,<class 'keras.optimizers.optimizer_v2.rmsprop.RMSprop'>,categorical_crossentropy,elu,relu,elu,relu,tanh,elu,softmax
30,1.7279409170150757,0.3020657002925873,1.9871174097061157,0.22933603823184967,0.0001,32,64,128,64,256,30,0.35000000000000003,normal,None,None,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,categorical_crossentropy,relu,relu,tanh,tanh,tanh,tanh,softmax
